epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,train/background_loss,train/saliency_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,val/background_loss,val/saliency_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2281.75,2.36212,0.4585,0.93346,0.06072,0.15477,0.70387,0.0067,0.00058,0.00016,2.42419,0.11075,0.88261,0.06041,0.14248,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,4463.14,2.29908,0.155,0.805,0.04968,0.13206,0.21663,0.05252,0.00544,0.00154,1.76135,0.33079,0.44887,0.04515,0.12316,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,6347.01,2.03336,0.23264,0.60047,0.0439,0.11522,0.22169,0.06999,0.01195,0.0043,1.73767,0.342,0.39985,0.04079,0.10175,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,8054.42,1.94248,0.25868,0.50415,0.03877,0.09089,0.15446,0.08256,0.01859,0.00729,1.58113,0.36937,0.32921,0.03562,0.07668,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,9749.33,1.80481,0.3015,0.40282,0.03475,0.06936,0.17196,0.10062,0.03137,0.01258,1.52567,0.38502,0.26035,0.03307,0.05784,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,11442.0,1.72905,0.32453,0.34656,0.03265,0.05156,0.08802,0.13176,0.04523,0.01985,1.37623,0.43284,0.22752,0.03038,0.04167,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,12928.8,1.6678,0.33529,0.3115,0.03138,0.03486,0.10981,0.15698,0.06082,0.02845,1.3596,0.434,0.23165,0.02999,0.0285,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,14293.1,1.6107,0.34789,0.29399,0.03053,0.02421,0.12498,0.16435,0.06537,0.0292,1.32063,0.42932,0.19509,0.02896,0.02232,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,15639.2,1.58513,0.35083,0.27492,0.02922,0.01977,0.14566,0.16444,0.07735,0.03425,1.31483,0.42677,0.197,0.02842,0.01942,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,16924.6,1.54398,0.35869,0.26001,0.02828,0.01758,0.1603,0.1764,0.08971,0.04097,1.2523,0.44977,0.17611,0.02769,0.01771,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,18243.5,1.53998,0.35416,0.25256,0.02768,0.01604,0.17257,0.19043,0.1026,0.0467,1.20984,0.45932,0.15966,0.02619,0.01645,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,19570.0,1.5051,0.3622,0.23816,0.02693,0.01497,0.15564,0.16823,0.08915,0.03306,1.31723,0.42514,0.18762,0.02611,0.01573,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,20866.5,1.4651,0.3763,0.22809,0.02632,0.01409,0.17459,0.18425,0.10333,0.04786,1.23225,0.42977,0.15971,0.02531,0.01478,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,22178.5,1.45812,0.37204,0.22237,0.02587,0.01354,0.19323,0.19419,0.11048,0.05026,1.20184,0.44367,0.15874,0.02545,0.01419,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,23425.5,1.47434,0.35988,0.22011,0.02515,0.01301,0.22136,0.19466,0.12125,0.05484,1.19103,0.42896,0.16882,0.02464,0.01363,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,24692.8,1.40766,0.38836,0.20763,0.02489,0.01239,0.23177,0.22516,0.14771,0.07212,1.11172,0.48118,0.1387,0.02438,0.01317,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,26003.0,1.42531,0.37714,0.21006,0.02455,0.01217,0.23196,0.21115,0.13741,0.05917,1.17756,0.44696,0.15073,0.02408,0.01285,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,27260.5,1.43175,0.36941,0.20805,0.02404,0.01188,0.2326,0.21896,0.14127,0.06078,1.16547,0.44509,0.14618,0.02365,0.01281,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1262.61,1.41029,0.37712,0.20234,0.0238,0.01162,0.25006,0.22616,0.15505,0.07179,1.11748,0.46498,0.13439,0.0239,0.01247,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2595.58,1.40192,0.37595,0.19562,0.02379,0.0116,0.26621,0.24511,0.16797,0.07967,1.07945,0.47014,0.13364,0.02289,0.01242,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3912.08,1.38232,0.38343,0.19765,0.0236,0.01154,0.26654,0.24177,0.17085,0.08372,1.05876,0.4914,0.13209,0.02289,0.01232,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,5217.25,1.347,0.39214,0.18629,0.02307,0.01132,0.26479,0.2268,0.15432,0.06825,1.14066,0.44585,0.13228,0.02256,0.01216,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,6491.62,1.37611,0.38162,0.1916,0.0229,0.0113,0.25425,0.23639,0.16576,0.07194,1.12089,0.45098,0.12343,0.02248,0.01223,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7781.24,1.37172,0.38077,0.18803,0.02295,0.01127,0.27437,0.25389,0.17777,0.08594,1.05001,0.47535,0.12474,0.02215,0.01209,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9100.14,1.34677,0.38705,0.17882,0.0225,0.01108,0.29394,0.27061,0.19827,0.09701,1.01033,0.48921,0.1184,0.02196,0.01197,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10748.6,1.32752,0.39593,0.18128,0.02316,0.01124,0.31392,0.25836,0.19862,0.0974,1.0426,0.46624,0.12177,0.02227,0.012,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,11907.1,1.52868,0.31711,0.21868,0.02251,0.0111,0.22881,0.21091,0.13157,0.05291,1.19782,0.4284,0.13796,0.02177,0.01188,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,13180.2,1.45768,0.34459,0.20147,0.02235,0.01102,0.22622,0.18976,0.12458,0.04625,1.23601,0.39909,0.16397,0.02161,0.01187,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,14524.5,1.47893,0.33406,0.20983,0.02248,0.01099,0.26269,0.2325,0.1623,0.07071,1.14665,0.44038,0.13762,0.02113,0.0117,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,15749.8,1.41942,0.35298,0.19036,0.02185,0.01087,0.28651,0.25174,0.18314,0.07402,1.11604,0.45594,0.1303,0.02176,0.01176,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,16730.5,1.43327,0.34866,0.19359,0.02173,0.01089,0.30589,0.29969,0.22046,0.11331,0.97019,0.49263,0.11163,0.02163,0.01167,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,17890.6,1.28685,0.39974,0.16235,0.02155,0.01088,0.31946,0.29486,0.22504,0.1162,0.96824,0.48816,0.11144,0.02123,0.01154,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,18986.2,1.26664,0.40095,0.15571,0.02114,0.0108,0.32891,0.30401,0.24121,0.12565,0.94208,0.50117,0.10534,0.02044,0.01146,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,20151.7,1.31731,0.38647,0.1659,0.02108,0.01065,0.3309,0.29762,0.23562,0.11946,0.97062,0.48783,0.10751,0.02056,0.01137,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,21428.7,1.26453,0.40406,0.15888,0.02103,0.01073,0.33949,0.29913,0.23673,0.12588,0.94615,0.48978,0.10605,0.02035,0.01154,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,22557.2,1.30782,0.38865,0.16515,0.02094,0.01072,0.29052,0.22892,0.1655,0.06744,1.14506,0.43752,0.132,0.02117,0.01154,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23807.8,1.32806,0.38237,0.16508,0.0211,0.01063,0.27924,0.24999,0.17476,0.0731,1.10378,0.45615,0.11591,0.02061,0.01149,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,24992.4,1.23278,0.41407,0.1496,0.02091,0.01065,0.35414,0.31898,0.25895,0.13715,0.90658,0.5106,0.09939,0.02058,0.01131,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,26177.6,1.26684,0.40102,0.15777,0.02097,0.01073,0.33191,0.30626,0.24063,0.11923,0.94444,0.50348,0.10418,0.02046,0.01139,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,27445.4,1.25289,0.40154,0.15016,0.02069,0.01076,0.34319,0.30978,0.2489,0.11977,0.96936,0.48819,0.10032,0.02042,0.01135,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,28657.1,1.23379,0.40536,0.14545,0.02049,0.01044,0.36596,0.31578,0.26135,0.13688,0.92592,0.4952,0.10248,0.02016,0.01139,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,29817.7,1.24969,0.4033,0.15145,0.02042,0.01051,0.35056,0.31026,0.25204,0.12352,0.9538,0.49772,0.10261,0.02003,0.01137,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,30833.3,1.2588,0.4008,0.15516,0.02074,0.0106,0.34087,0.31377,0.25386,0.12904,0.93489,0.49369,0.09949,0.02013,0.01147,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,31882.6,1.31673,0.38697,0.16451,0.0206,0.01061,0.33804,0.32311,0.26104,0.13591,0.90884,0.51106,0.0964,0.01978,0.01154,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,33128.2,1.19982,0.41724,0.14246,0.02003,0.01065,0.35569,0.32652,0.26665,0.13354,0.92398,0.49894,0.09836,0.01997,0.01124,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,34294.8,1.20804,0.41063,0.13925,0.0201,0.01042,0.36529,0.30746,0.2521,0.12913,0.97607,0.46729,0.0997,0.02014,0.01124,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,35517.3,1.22638,0.40621,0.14724,0.02034,0.01059,0.3614,0.32062,0.2599,0.13368,0.93913,0.48202,0.10016,0.01996,0.01126,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,36732.0,1.25645,0.39691,0.14986,0.02013,0.01072,0.35576,0.32569,0.26598,0.1329,0.91576,0.50021,0.09526,0.01966,0.01121,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,38070.5,1.18812,0.41515,0.14268,0.02013,0.01055,0.36428,0.33775,0.27601,0.14499,0.91286,0.49417,0.09689,0.01961,0.01123,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,39319.7,1.44669,0.33421,0.17783,0.01994,0.01063,0.07863,0.06982,0.03088,0.00966,1.87545,0.22926,0.19245,0.01992,0.01126,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,40761.5,1.78658,0.2549,0.25371,0.02029,0.01067,0.02507,0.01874,0.00327,0.00073,2.48203,0.13363,0.40055,0.0201,0.01129,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,42059.6,1.38693,0.35816,0.17112,0.01954,0.01043,0.36492,0.3427,0.27844,0.1504,0.88358,0.50271,0.09444,0.01969,0.01113,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,43288.5,1.1296,0.42699,0.13138,0.0194,0.01046,0.38794,0.35171,0.29937,0.16074,0.85838,0.50544,0.0899,0.01948,0.01114,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,44655.4,1.10706,0.43373,0.12262,0.01934,0.01028,0.40601,0.36579,0.31139,0.16722,0.84903,0.50654,0.08932,0.01956,0.01111,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,45854.6,1.36338,0.35977,0.15737,0.01944,0.0103,0.34864,0.27339,0.21573,0.10143,1.16928,0.39527,0.11703,0.01972,0.01108,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,47177.7,1.34588,0.362,0.15898,0.01972,0.01035,0.37769,0.32729,0.27146,0.14502,0.94807,0.47028,0.09577,0.01944,0.01117,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,943.467,1.2493,0.38821,0.14109,0.0192,0.01024,0.36999,0.33157,0.26693,0.13615,0.96841,0.46808,0.10037,0.01949,0.01121,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,1889.69,1.37653,0.35394,0.1609,0.01958,0.01042,0.35165,0.30093,0.2426,0.11295,1.02745,0.44549,0.10347,0.01958,0.01117,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2832.21,1.88605,0.232,0.28543,0.01951,0.01041,0.05326,0.0398,0.01424,0.00463,2.0533,0.18035,0.27646,0.01906,0.01114,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3755.49,1.24058,0.38833,0.13892,0.01891,0.01023,0.38361,0.34939,0.29286,0.15192,0.89409,0.49614,0.09093,0.01895,0.01102,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4686.4,1.08472,0.43643,0.12093,0.01873,0.01011,0.41525,0.36774,0.32347,0.1775,0.82832,0.50687,0.087,0.01915,0.01102,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5620.02,1.06403,0.4389,0.11681,0.01896,0.01016,0.41629,0.37325,0.32776,0.17828,0.82113,0.51051,0.08476,0.0192,0.01105,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6535.58,1.04601,0.44513,0.11429,0.01872,0.01008,0.42902,0.38194,0.34043,0.18585,0.80598,0.5138,0.08219,0.01933,0.01095,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
